student_id,gender,category,age,hostel_status,commute_distance_km,family_income_slab,income_slab_idx,is_first_generation,has_scholarship,fee_payment_delay_days,att_core1,att_core2,att_lab,att_elective,attendance_month_1,attendance_month_2,attendance_month_3,attendance_percentage,attendance_3m_trend,consecutive_absences,attendance_risk_flag,prev_sem_cgpa,current_cgpa,cgpa_delta,backlog_count,internal_exam_score_pct,stem_core_fail_flag,lms_logins_per_week,assignment_submission_lag_days,resource_access_count,days_since_last_lms_activity,forum_participation_count,ground_truth_risk_prob,is_dropout
IND_2026_0011,Male,General,19.6,Day Scholar,10.4,>8 LPA,3,0,0,3,100.0,100.0,100.0,100.0,95.4,99.7,100.0,98.7,2.29,2,0,3.76,4.62,0.86,0,45.6,0,5.6,-1.9,80,13,3,0.1467,0
IND_2026_0012,Female,SC,18.3,Hosteler,0.5,2-5 LPA,1,1,0,12,86.7,81.6,78.9,80.2,70.1,84.1,82.5,79.9,6.2,1,0,4.94,5.58,0.64,0,52.7,0,6.8,-1.2,34,9,3,0.4197,0
IND_2026_0013,Female,General,20.7,Hosteler,0.5,>8 LPA,3,0,0,3,74.2,67.9,79.5,77.1,83.3,74.4,69.9,74.9,-6.66,6,1,6.65,6.38,-0.27,0,66.6,0,7.6,-0.1,60,10,3,0.4963,0
IND_2026_0014,Female,General,20.7,Hosteler,0.5,<2 LPA,0,1,0,31,20.9,33.9,37.9,26.8,37.9,20.4,35.7,30.9,-1.11,13,1,5.66,4.58,-1.08,4,49.8,1,0.3,0.8,18,16,0,0.9999,1
IND_2026_0015,Male,General,18.1,Day Scholar,12.7,5-8 LPA,2,0,0,0,69.2,72.1,73.3,64.9,62.8,62.0,61.9,62.1,-0.44,8,1,8.34,8.2,-0.14,2,80.6,0,7.2,1.6,46,8,2,0.5733,1
IND_2026_0016,Male,General,20.4,Day Scholar,11.6,5-8 LPA,2,0,0,4,92.6,97.8,94.0,88.4,85.3,96.5,100.0,95.1,7.35,1,0,5.37,5.62,0.25,0,60.3,0,8.1,-0.8,13,7,7,0.0488,0
IND_2026_0017,Male,General,21.1,Day Scholar,10.7,5-8 LPA,2,0,0,4,59.6,58.1,59.2,57.0,53.4,60.5,61.6,59.1,4.08,9,1,6.5,6.06,-0.44,3,57.6,0,0.7,0.7,22,12,3,0.8959,1
IND_2026_0018,Male,SC,20.6,Day Scholar,12.1,2-5 LPA,1,1,0,30,91.3,82.8,95.8,100.0,91.2,83.1,76.1,82.3,-7.56,0,0,6.55,6.47,-0.08,0,64.9,0,7.0,-4.0,40,7,0,0.516,1
IND_2026_0019,Female,General,20.9,Hosteler,0.5,5-8 LPA,2,0,0,0,69.7,72.9,71.0,71.7,66.5,66.8,73.5,69.4,3.46,2,1,8.89,8.93,0.04,0,89.9,0,8.5,0.8,36,7,1,0.0887,0
IND_2026_0020,Female,SC,18.3,Hosteler,0.5,<2 LPA,0,0,0,32,77.0,80.0,84.8,79.8,84.3,77.2,69.4,75.9,-7.43,0,0,6.35,5.78,-0.57,0,60.0,0,7.2,-1.8,20,12,1,0.7414,1
IND_2026_0021,Female,ST,20.5,Day Scholar,13.0,<2 LPA,0,1,1,0,88.8,89.9,99.9,82.4,96.2,84.4,76.7,84.3,-9.74,1,0,7.83,8.32,0.49,0,83.6,0,9.1,-3.8,36,6,4,0.0435,0
IND_2026_0022,Male,OBC,19.7,Hosteler,0.5,2-5 LPA,1,0,1,3,83.5,73.7,85.1,79.8,75.2,76.7,75.4,75.8,0.12,2,0,7.47,7.63,0.16,0,75.6,0,6.2,2.6,48,7,2,0.1293,0
IND_2026_0023,Female,General,19.5,Hosteler,0.5,2-5 LPA,1,1,1,34,66.0,59.9,72.8,69.2,65.5,64.2,63.7,64.3,-0.92,9,1,8.46,8.1,-0.36,2,86.7,0,4.5,0.7,38,9,2,0.9036,1
IND_2026_0024,Female,OBC,21.2,Hosteler,0.5,2-5 LPA,1,0,0,1,82.6,92.3,96.8,93.4,92.8,87.5,86.9,88.6,-2.94,0,0,8.39,8.93,0.54,0,82.1,0,4.4,0.3,49,4,3,0.0211,0
IND_2026_0025,Female,General,22.0,Hosteler,0.5,2-5 LPA,1,1,0,1,88.9,98.6,100.0,95.5,85.9,93.0,92.4,91.0,3.23,1,0,7.15,7.39,0.24,0,69.4,0,9.6,-0.4,61,9,7,0.0754,0
IND_2026_0026,Male,OBC,22.4,Day Scholar,11.1,>8 LPA,3,0,0,4,91.8,92.1,85.7,96.2,85.3,92.1,100.0,93.5,7.37,0,0,4.83,4.99,0.16,1,46.3,0,7.9,-1.0,33,8,3,0.0453,0
IND_2026_0027,Male,EWS,21.8,Day Scholar,6.8,2-5 LPA,1,1,1,1,56.9,64.3,65.9,70.6,56.5,63.9,65.1,62.5,4.32,9,1,6.88,6.81,-0.07,1,62.9,0,8.2,-1.0,66,11,3,0.6006,1
IND_2026_0028,Male,EWS,20.0,Hosteler,0.5,2-5 LPA,1,1,0,1,68.0,86.6,84.7,77.3,67.0,78.2,83.1,77.3,8.06,0,0,7.17,7.49,0.32,0,61.2,0,5.4,0.6,26,10,4,0.1545,0
IND_2026_0029,Male,SC,20.6,Day Scholar,6.3,2-5 LPA,1,1,1,5,67.1,59.9,65.9,60.5,69.9,64.0,61.0,64.3,-4.42,10,1,7.6,7.1,-0.5,4,74.3,0,7.7,1.9,88,26,4,0.9767,1
IND_2026_0030,Female,General,21.1,Day Scholar,9.8,<2 LPA,0,1,0,34,96.0,98.9,100.0,96.1,94.2,91.6,96.3,94.1,1.04,0,0,6.17,6.38,0.21,0,55.5,0,4.1,-1.4,70,7,1,0.2121,0
IND_2026_0031,Female,SC,20.3,Day Scholar,4.1,5-8 LPA,2,1,0,4,74.1,72.3,80.1,68.0,74.7,72.2,72.2,72.8,-1.26,2,1,8.8,8.66,-0.14,0,83.1,0,5.4,3.3,36,11,3,0.5113,1
IND_2026_0032,Female,SC,20.3,Day Scholar,2.1,2-5 LPA,1,0,1,0,85.7,90.1,88.5,76.9,100.0,81.0,78.7,84.9,-10.64,0,0,7.22,7.22,0.0,0,61.5,0,7.3,-1.6,37,6,2,0.2359,0
IND_2026_0033,Male,OBC,21.2,Hosteler,0.5,<2 LPA,0,0,1,4,66.3,71.9,68.0,62.8,57.2,63.5,67.1,63.4,4.97,7,1,5.91,6.31,0.4,6,63.0,0,7.0,-3.4,39,9,2,0.7294,1
IND_2026_0034,Male,OBC,20.0,Day Scholar,7.6,>8 LPA,3,0,0,0,73.0,67.7,71.3,55.2,85.0,77.6,56.2,70.9,-14.39,2,1,6.56,6.6,0.04,0,58.8,0,9.5,-4.4,49,8,5,0.3228,0
IND_2026_0035,Male,General,19.2,Hosteler,0.5,5-8 LPA,2,0,0,0,47.9,53.4,46.0,48.0,40.7,38.8,37.2,38.7,-1.78,11,1,9.9,9.0,-0.9,3,79.8,0,5.3,-4.1,58,11,1,0.6413,1
IND_2026_0036,Male,General,19.6,Hosteler,0.5,5-8 LPA,2,0,0,1,70.2,88.4,90.9,77.1,84.7,84.1,83.4,84.0,-0.65,0,0,8.13,7.94,-0.19,0,76.4,0,5.6,-2.3,24,7,1,0.0311,0
IND_2026_0037,Male,OBC,20.9,Hosteler,0.5,>8 LPA,3,0,0,2,42.1,38.8,44.5,38.3,41.8,44.0,40.1,41.9,-0.84,15,1,8.67,8.18,-0.49,2,74.2,0,3.7,-0.7,42,11,2,0.7464,1
IND_2026_0038,Male,General,20.1,Day Scholar,12.0,>8 LPA,3,0,0,4,84.6,79.4,89.3,78.0,84.5,80.3,80.4,81.4,-2.08,0,0,5.74,5.62,-0.12,0,50.5,0,4.8,0.9,14,9,3,0.168,0
IND_2026_0039,Male,General,20.5,Hosteler,0.5,2-5 LPA,1,1,0,63,88.7,97.4,97.8,89.4,83.1,95.5,96.3,92.7,6.59,0,0,6.24,6.39,0.15,0,61.6,0,11.5,-1.3,39,8,1,0.7163,1
IND_2026_0040,Female,SC,21.0,Hosteler,0.5,5-8 LPA,2,0,1,0,88.5,93.4,96.7,83.9,82.1,87.1,92.9,88.2,5.4,2,0,6.25,6.93,0.68,0,69.8,0,8.6,0.6,81,6,0,0.009,0
IND_2026_0041,Male,EWS,19.6,Day Scholar,5.5,5-8 LPA,2,0,1,2,98.8,88.4,93.7,91.8,100.0,93.3,94.7,95.5,-2.64,0,0,7.46,8.15,0.69,0,73.3,0,10.2,-1.7,25,10,2,0.0219,0
IND_2026_0042,Female,OBC,21.1,Hosteler,0.5,2-5 LPA,1,0,0,24,93.0,91.8,89.7,90.1,92.4,95.8,83.8,90.1,-4.3,0,0,6.96,6.21,-0.75,0,54.0,0,6.4,-1.0,20,7,2,0.5093,1
IND_2026_0043,Female,SC,20.6,Hosteler,0.5,2-5 LPA,1,1,1,3,86.0,78.0,80.9,71.8,84.0,84.2,71.1,78.9,-6.41,1,0,6.51,6.54,0.03,0,62.2,0,6.5,-2.1,43,14,5,0.3644,0
IND_2026_0044,Male,EWS,18.5,Hosteler,0.5,<2 LPA,0,0,1,6,88.4,78.8,97.2,74.2,81.7,87.2,81.0,83.4,-0.37,0,0,6.69,6.96,0.27,0,68.8,0,8.3,2.0,77,9,4,0.1392,0
IND_2026_0045,Female,General,22.0,Hosteler,0.5,5-8 LPA,2,0,0,0,67.2,80.9,77.0,73.5,63.1,67.4,62.6,64.4,-0.26,9,1,6.09,5.67,-0.42,3,61.2,0,4.4,-3.5,39,12,6,0.9321,1
IND_2026_0046,Female,OBC,19.4,Hosteler,0.5,5-8 LPA,2,0,0,2,63.2,65.7,66.2,47.6,70.2,64.2,56.6,62.6,-6.83,6,1,6.95,6.71,-0.24,4,58.4,0,5.3,0.3,15,9,0,0.824,1
IND_2026_0047,Male,OBC,17.9,Hosteler,0.5,5-8 LPA,2,1,0,2,56.8,73.6,79.6,70.5,73.7,74.1,72.2,73.2,-0.74,3,1,8.76,7.9,-0.86,0,73.5,0,5.5,-1.5,19,9,2,0.3089,0
IND_2026_0048,Male,General,18.7,Hosteler,0.5,2-5 LPA,1,1,1,6,76.2,84.7,85.1,72.9,78.7,78.7,75.3,77.3,-1.72,0,0,5.08,3.86,-1.22,0,42.5,0,4.3,1.7,34,14,2,0.7277,1
IND_2026_0049,Female,SC,18.8,Day Scholar,4.1,<2 LPA,0,1,1,0,77.1,83.2,83.8,86.2,86.6,81.8,94.9,88.2,4.14,0,0,7.69,7.58,-0.11,0,81.9,0,7.5,-1.5,26,5,3,0.1173,0
IND_2026_0050,Male,OBC,20.2,Day Scholar,11.9,2-5 LPA,1,0,0,0,80.4,84.6,88.5,66.9,78.5,82.8,82.4,81.6,1.94,2,0,9.13,9.42,0.29,0,84.5,0,6.3,-1.8,50,11,5,0.1968,0
IND_2026_0051,Male,OBC,19.7,Day Scholar,8.5,2-5 LPA,1,1,0,12,87.5,77.4,89.9,81.1,87.0,87.4,77.2,83.2,-4.91,1,0,6.94,5.69,-1.25,0,50.4,0,6.9,-1.3,42,9,1,0.3502,0
IND_2026_0052,Male,General,19.7,Day Scholar,17.2,>8 LPA,3,0,0,4,60.4,53.7,59.8,53.5,43.8,56.0,59.2,54.2,7.73,7,1,6.46,5.56,-0.9,2,54.7,1,5.5,3.3,25,11,1,0.598,1
IND_2026_0053,Female,General,20.9,Day Scholar,13.7,>8 LPA,3,0,0,2,67.5,64.9,63.2,64.6,60.4,54.0,61.5,58.6,0.56,8,1,8.49,7.21,-1.28,2,65.6,0,5.5,-0.4,82,11,7,0.8149,1
IND_2026_0054,Female,ST,20.5,Day Scholar,8.3,>8 LPA,3,0,0,2,74.2,83.0,82.9,74.7,69.9,74.6,76.4,74.1,3.26,5,1,5.82,5.69,-0.13,0,50.3,0,4.2,3.9,47,12,1,0.7536,1
IND_2026_0055,Female,General,20.5,Day Scholar,3.0,>8 LPA,3,0,0,4,77.0,59.0,64.3,53.0,64.6,55.7,66.9,62.4,1.12,4,1,7.17,7.74,0.57,4,74.8,0,6.5,-0.1,66,13,4,0.8787,1
IND_2026_0056,Female,General,20.6,Day Scholar,10.5,>8 LPA,3,0,0,3,86.8,80.5,82.6,80.0,81.9,83.1,91.0,85.9,4.53,2,0,5.74,5.91,0.17,0,63.9,0,5.5,-0.8,59,11,3,0.2841,0
IND_2026_0057,Male,General,20.9,Day Scholar,10.0,2-5 LPA,1,0,0,13,45.7,56.6,58.8,57.7,62.3,51.3,48.2,52.8,-7.05,9,1,4.58,3.98,-0.6,0,31.3,1,4.3,0.4,27,17,2,0.992,1
IND_2026_0058,Male,OBC,17.5,Day Scholar,2.7,<2 LPA,0,0,1,32,70.3,70.2,69.5,63.3,73.5,74.8,67.5,71.6,-3.0,4,1,6.99,7.28,0.29,0,76.7,0,8.7,0.4,36,8,3,0.6785,1
IND_2026_0059,Male,OBC,19.6,Day Scholar,12.8,<2 LPA,0,0,1,3,85.1,85.9,90.1,84.8,89.7,94.8,83.9,89.2,-2.91,2,0,5.43,5.79,0.36,0,52.1,0,4.1,-2.2,35,7,3,0.4351,0
IND_2026_0060,Male,OBC,17.5,Hosteler,0.5,2-5 LPA,1,1,0,2,92.2,93.5,97.4,86.6,93.1,91.0,80.8,87.4,-6.14,0,0,7.18,7.39,0.21,0,71.9,0,11.6,-1.0,59,6,5,0.1844,0
IND_2026_0061,Female,General,20.1,Hosteler,0.5,2-5 LPA,1,1,0,13,82.9,85.6,94.9,83.9,70.8,94.4,99.4,90.5,14.29,2,0,8.76,9.56,0.8,0,98.8,0,8.2,-2.1,37,3,9,0.0041,0
IND_2026_0062,Male,General,20.1,Day Scholar,9.6,<2 LPA,0,1,0,63,57.6,48.5,67.5,76.2,59.7,61.9,58.3,59.9,-0.7,6,1,9.8,9.63,-0.17,3,93.1,0,7.9,-0.5,91,7,0,0.9143,1
IND_2026_0063,Male,SC,21.5,Day Scholar,7.0,>8 LPA,3,0,1,3,67.9,61.7,75.3,63.9,61.0,73.3,68.8,68.4,3.89,4,1,7.33,7.29,-0.04,0,67.8,0,4.9,0.0,27,11,2,0.2011,0
IND_2026_0064,Female,OBC,21.6,Hosteler,0.5,<2 LPA,0,1,0,19,60.1,62.9,76.5,64.0,60.8,70.2,72.9,68.9,6.03,4,1,8.63,8.42,-0.21,0,83.6,0,9.2,-0.2,45,18,2,0.2187,0
IND_2026_0065,Female,OBC,20.4,Day Scholar,11.0,>8 LPA,3,0,0,1,74.4,59.3,71.2,62.2,67.9,66.6,78.4,71.6,5.24,5,1,7.76,7.52,-0.24,0,70.6,0,6.4,-0.7,36,7,3,0.1428,0
IND_2026_0066,Male,SC,19.4,Day Scholar,10.7,5-8 LPA,2,0,1,3,83.7,78.2,85.5,81.6,73.2,76.7,83.5,78.5,5.16,1,0,6.66,7.16,0.5,0,70.6,0,6.0,2.4,33,27,3,0.3833,0
IND_2026_0067,Male,SC,20.7,Day Scholar,16.4,5-8 LPA,2,1,0,0,93.3,78.7,88.6,90.4,83.7,89.0,90.9,88.4,3.59,0,0,4.51,4.69,0.18,0,43.5,0,4.9,0.4,98,15,2,0.2173,0
IND_2026_0068,Male,General,19.4,Hosteler,0.5,5-8 LPA,2,0,0,7,85.1,96.1,95.0,81.0,84.2,87.1,85.9,85.9,0.85,1,0,9.48,10.0,0.52,0,99.0,0,7.8,3.7,41,2,4,0.0648,0
IND_2026_0069,Male,OBC,20.1,Hosteler,0.5,2-5 LPA,1,0,0,4,98.6,100.0,95.2,89.0,86.4,92.3,95.1,92.0,4.35,0,0,5.73,5.68,-0.05,0,47.0,0,7.5,-0.9,35,12,0,0.164,0
IND_2026_0070,Male,OBC,21.4,Day Scholar,8.6,5-8 LPA,2,0,0,3,79.7,82.1,98.8,79.6,80.0,86.9,90.1,86.5,5.07,0,0,9.14,10.0,0.86,0,89.9,0,8.7,0.0,37,3,1,0.0043,0
IND_2026_0071,Male,General,19.4,Day Scholar,21.3,<2 LPA,0,1,0,31,66.2,75.9,76.4,64.5,75.7,72.1,71.6,72.8,-2.02,6,1,7.95,8.11,0.16,0,70.0,0,6.8,-2.7,42,9,3,0.2768,0
IND_2026_0072,Male,SC,21.1,Day Scholar,6.3,>8 LPA,3,0,1,33,77.8,79.8,94.7,90.3,87.7,91.5,80.9,86.3,-3.37,1,0,5.83,5.68,-0.15,0,53.7,0,5.0,2.3,37,10,2,0.2519,0
IND_2026_0073,Female,OBC,21.0,Day Scholar,12.7,2-5 LPA,1,1,0,1,66.9,65.2,73.2,61.0,67.4,62.5,69.5,66.5,1.04,2,1,7.64,7.66,0.02,0,65.1,0,4.9,-2.3,23,14,2,0.3855,0
IND_2026_0074,Male,SC,18.9,Day Scholar,16.7,2-5 LPA,1,0,0,22,99.5,100.0,96.1,73.4,83.2,95.0,89.5,89.9,3.19,0,0,9.95,10.0,0.05,0,91.5,0,7.6,-1.2,42,6,3,0.0309,0
IND_2026_0075,Male,ST,21.4,Hosteler,0.5,5-8 LPA,2,0,0,1,75.5,76.6,85.3,89.5,74.3,81.2,83.1,80.3,4.4,0,0,9.35,9.5,0.15,0,84.7,0,8.8,-2.3,62,5,2,0.0098,0
IND_2026_0076,Male,OBC,21.0,Hosteler,0.5,5-8 LPA,2,1,0,8,84.3,85.6,92.2,79.6,90.8,80.9,89.9,87.0,-0.45,1,0,6.48,6.56,0.08,0,69.7,0,8.2,-0.1,65,8,3,0.0465,0
IND_2026_0077,Male,ST,20.2,Hosteler,0.5,2-5 LPA,1,1,0,10,91.4,87.5,98.1,88.9,96.6,89.3,82.1,88.2,-7.24,0,0,6.2,6.47,0.27,0,56.5,0,8.5,-1.6,42,7,1,0.3421,0
IND_2026_0078,Female,OBC,19.1,Day Scholar,13.9,5-8 LPA,2,0,0,2,93.9,96.7,93.6,99.9,96.5,87.8,86.7,89.5,-4.9,0,0,7.34,8.13,0.79,0,70.8,0,7.7,-3.4,47,5,2,0.0439,0
IND_2026_0079,Male,ST,19.0,Day Scholar,6.2,<2 LPA,0,1,1,4,52.3,37.2,56.4,52.2,55.8,57.4,54.3,55.8,-0.73,9,1,6.97,6.72,-0.25,4,65.1,0,6.3,-0.8,29,13,1,0.7788,1
IND_2026_0080,Female,General,19.4,Hosteler,0.5,5-8 LPA,2,0,0,3,69.2,70.0,75.1,69.3,76.6,70.9,68.4,71.3,-4.11,5,1,8.88,8.28,-0.6,0,87.1,0,6.6,2.3,33,6,5,0.1565,0
IND_2026_0081,Female,OBC,20.8,Day Scholar,30.7,2-5 LPA,1,0,0,12,61.6,69.5,67.0,59.1,70.1,69.4,63.2,67.1,-3.44,6,1,8.24,7.56,-0.68,0,71.2,0,2.9,0.2,26,7,3,0.5081,1
IND_2026_0082,Male,OBC,18.9,Hosteler,0.5,2-5 LPA,1,1,0,4,44.8,44.6,55.6,34.8,53.1,42.4,43.3,45.4,-4.89,14,1,4.83,4.21,-0.62,1,39.8,1,3.5,-2.0,14,16,3,0.992,1
IND_2026_0083,Female,General,20.7,Hosteler,0.5,<2 LPA,0,1,0,45,71.2,68.9,63.2,61.0,68.3,73.4,64.7,68.7,-1.79,5,1,7.84,7.84,0.0,0,80.9,0,5.9,1.5,29,14,6,0.7919,1
IND_2026_0084,Male,OBC,18.5,Hosteler,0.5,2-5 LPA,1,0,1,19,85.6,91.7,88.2,85.6,82.4,85.4,87.1,85.3,2.38,2,0,6.95,6.9,-0.05,0,69.9,0,4.9,-3.1,62,7,2,0.0672,0
IND_2026_0085,Male,ST,19.8,Hosteler,0.5,2-5 LPA,1,0,0,11,79.6,76.3,90.6,84.2,77.2,86.0,83.5,82.8,3.16,1,0,7.25,8.16,0.91,0,79.6,0,6.3,0.2,36,6,5,0.0596,0
IND_2026_0086,Male,OBC,20.2,Day Scholar,11.7,2-5 LPA,1,1,0,14,57.2,61.3,57.1,44.4,42.9,47.6,48.6,46.8,2.82,22,1,7.55,7.21,-0.34,1,65.6,0,5.6,1.1,29,11,3,0.9688,1
IND_2026_0087,Female,General,23.3,Hosteler,0.5,<2 LPA,0,0,0,34,64.7,60.4,65.1,66.3,72.8,65.6,68.7,68.7,-2.06,3,1,8.88,8.44,-0.44,0,82.5,0,4.6,0.3,35,7,2,0.5927,1
IND_2026_0088,Male,General,18.3,Day Scholar,9.6,<2 LPA,0,1,1,3,95.9,94.5,91.0,72.5,92.4,95.0,89.2,92.0,-1.57,2,0,8.57,8.67,0.1,0,75.6,0,6.6,2.2,84,7,6,0.0677,0
IND_2026_0089,Male,General,22.0,Day Scholar,37.8,2-5 LPA,1,1,0,23,53.7,46.1,51.1,46.5,45.7,37.6,39.0,40.2,-3.38,22,1,6.15,5.18,-0.97,3,46.1,0,7.2,-1.1,19,21,2,0.9968,1
IND_2026_0090,Male,General,20.3,Hosteler,0.5,<2 LPA,0,0,1,3,70.5,67.4,74.3,69.3,65.5,71.2,67.6,68.3,1.01,4,1,7.12,6.8,-0.32,0,71.8,1,2.9,0.8,42,10,3,0.2462,0
IND_2026_0091,Male,ST,20.6,Hosteler,0.5,5-8 LPA,2,0,0,1,79.2,85.9,97.6,100.0,83.3,83.3,92.1,86.8,4.38,2,0,6.57,7.43,0.86,0,77.1,0,6.9,1.4,42,5,3,0.0262,0
IND_2026_0092,Female,OBC,20.3,Day Scholar,8.2,>8 LPA,3,0,0,0,90.5,76.6,77.5,74.9,76.5,75.2,86.3,79.9,4.88,1,0,4.85,5.42,0.57,0,53.7,0,3.7,-1.9,38,9,8,0.0626,0
IND_2026_0093,Male,General,20.7,Hosteler,0.5,2-5 LPA,1,0,0,1,78.1,76.9,71.6,67.2,68.8,73.2,78.2,74.1,4.7,3,1,7.05,7.04,-0.01,0,57.2,0,5.0,-2.5,44,7,3,0.3437,0
IND_2026_0094,Male,OBC,19.9,Day Scholar,6.1,>8 LPA,3,1,0,2,83.0,79.9,92.2,82.6,81.4,81.0,78.2,80.0,-1.63,2,0,9.78,10.0,0.22,0,89.0,0,7.7,-2.5,50,5,5,0.0673,0
IND_2026_0095,Male,General,22.0,Hosteler,0.5,<2 LPA,0,1,1,3,99.6,92.6,95.8,89.6,100.0,94.0,89.8,93.8,-5.12,2,0,4.8,5.64,0.84,0,50.2,0,4.8,-0.3,58,16,3,0.2642,0
IND_2026_0096,Female,General,19.5,Day Scholar,12.3,<2 LPA,0,1,1,1,86.1,77.7,78.9,82.9,85.1,71.6,71.7,75.0,-6.68,0,0,7.17,7.2,0.03,0,67.5,0,7.8,-4.0,39,8,4,0.2223,0
IND_2026_0097,Male,SC,21.6,Day Scholar,14.8,5-8 LPA,2,0,1,2,72.3,57.7,67.8,62.6,65.4,63.1,64.7,64.3,-0.34,4,1,7.12,7.03,-0.09,0,60.5,0,8.8,0.7,81,11,7,0.2505,0
IND_2026_0098,Male,OBC,19.3,Hosteler,0.5,5-8 LPA,2,0,0,0,63.9,63.3,76.7,57.0,67.6,67.5,65.7,66.8,-0.94,6,1,7.6,7.66,0.06,0,71.5,0,8.1,-3.9,40,7,1,0.1133,0
IND_2026_0099,Male,EWS,20.0,Hosteler,0.5,5-8 LPA,2,1,1,0,57.0,48.7,54.0,41.6,62.0,49.6,46.3,51.4,-7.86,10,1,5.85,5.48,-0.37,3,60.9,1,6.8,3.2,14,13,2,0.964,1
IND_2026_0100,Female,OBC,18.7,Day Scholar,14.2,<2 LPA,0,1,0,4,58.8,63.6,79.2,65.7,64.9,71.9,57.8,64.5,-3.56,7,1,5.2,4.59,-0.61,1,45.6,0,2.2,1.3,43,13,1,0.9119,1
IND_2026_0101,Female,OBC,20.7,Hosteler,0.5,5-8 LPA,2,1,0,4,96.2,94.5,92.8,99.8,98.2,89.8,81.1,88.4,-8.58,0,0,5.27,5.3,0.03,0,51.4,0,5.9,3.5,46,9,2,0.9276,1
IND_2026_0102,Female,SC,22.0,Hosteler,0.5,2-5 LPA,1,0,0,14,83.3,84.1,87.8,82.0,97.9,82.5,73.4,82.7,-12.26,1,0,9.06,9.12,0.06,0,81.6,0,8.8,-0.2,47,3,5,0.2602,0
IND_2026_0103,Male,ST,20.0,Hosteler,0.5,2-5 LPA,1,0,1,1,57.7,66.9,55.2,59.7,47.6,53.7,59.8,54.6,6.13,9,1,5.82,4.99,-0.83,3,39.2,0,6.4,-0.3,27,16,2,0.8968,1
IND_2026_0104,Female,SC,19.8,Hosteler,0.5,<2 LPA,0,1,1,2,89.0,77.7,94.0,95.0,78.2,89.5,96.6,89.5,9.19,1,0,6.5,6.2,-0.3,0,52.8,0,10.3,-2.8,16,16,6,0.1817,0
IND_2026_0105,Female,EWS,18.7,Day Scholar,13.3,>8 LPA,3,0,1,3,87.3,91.4,92.3,88.7,79.3,94.0,94.8,90.7,7.78,1,0,9.95,10.0,0.05,0,86.6,0,10.7,-1.7,22,4,0,0.0133,0
